Company,Country,Acquireddate,Acquiredmoney,UsedAs
Bookpages, United Kingdom,27-Apr-98, ,Amazon UK
Telebook, Germany,27-Apr-98, ,Amazon Germany
IMDb, United Kingdom,27-Apr-98,55000000 ,IMDb
Junglee, United States,4-Aug-98,250000000 ,
PlanetAll, United States,4-Aug-98, ,
LiveBid.com, United States,12-Apr-99,300000000 ,
Accept.com, United States,27-Apr-99,101700000 ,
Alexa Internet, United States,27-Apr-99,250000000 ,Alexa Internet
e-Niche Incorporated, United States,27-Apr-99, ,
Convergence Corporation, United States,4-Oct-99,23000000 ,
Tool Crib of the North (Online and Catalog Sales Division), United States,9-Nov-99, ,
Back to Basics Toys, United States,30-Nov-99, ,
Leep Technology Inc., United States,31-Dec-99, ,
MindCorps Incorporated, United States,1999, ,
Egghead Software, United States,5-Dec-01,6100000 ,
OurHouse.com, United States,Dec-01, ,
Joyo.com, China,19-Aug-04,75000000 ,Amazon China
BookSurge, United States,4-Apr-05, ,CreateSpace
Mobipocket, France,21-Apr-05, ,Mobipocket
CustomFlix, United States,6-Jul-05, ,CreateSpace
smallparts.com, United States,2005, ,Amazon Business
Shopbop, United States,27-Feb-06, ,Shopbop
TextPayMe, United States,1-Oct-06,3000000 ,Amazon Payments
Digital Photography Review, United Kingdom,14-May-07, ,Digital Photography Review
Brilliance Audio, United States,23-May-07, ,Brilliance Audio
Withoutabox, United States,16-Jan-08, ,
Audible, United States,28-Jan-08,300000000 ,Audible
Fabric.com, United States,25-Jun-08, ,Fabric.com
AbeBooks, Canada,1-Aug-08, ,AbeBooks
Shelfari, United States,26-Aug-08, ,Goodreads
Reflexive Entertainment, United States,21-Oct-08, ,Reflexive Entertainment
Box Office Mojo, United States,17-Dec-08, ,Box Office Mojo
Lexcycle, United States,27-Apr-09, ,Amazon Kindle
SnapTell, United States,18-Jun-09, ,
Zappos, United States,2-Nov-09,1200000000 ,Zappos
Touchco, United States,3-Feb-10, ,Amazon Kindle
Woot, United States,2-Jul-10,110000000 ,Woot
Amie Street, United States,8-Sep-10, ,Songza
BuyVIP, Spain,4-Oct-10,100000000 ,BuyVIP
Quidsi, United States,8-Nov-10,545000000 ,
